cntr_01 name RA Dec elliptical spiral photoz photozErr FUV NUV U G R I Z J H K W1 W2 W3 W4
23 1237645876862058819 338.385601349898 -0.868742505342984 0.016825 0.983175 0.073539 0.01966 -18.473584943620235 -18.781044943620234 -19.7388 -21.0371 -21.7137 -22.0323 -22.3111 -20.918514943620234 -21.819514943620234 -23.028514943620237 -23.223514943620238 -23.481514943620233 -27.270514943620235 -29.652514943620236
24 1237645876862124148 338.38561020815 -0.868769681423678 0.014983 0.985017 0.073539 0.01966 -18.473584943620235 -18.781044943620234 -19.7388 -21.0371 -21.7137 -22.0323 -22.3111 -20.918514943620234 -21.819514943620234 -23.028514943620237 -23.223514943620238 -23.481514943620233 -27.270514943620235 -29.652514943620236
25 1237645876862189856 338.549913123516 -0.921950048238819 0.448925 0.551075 0.063765 0.024105 -15.802797591333515 -16.301247591333514 -17.838 -19.4728 -19.846 -20.0795 -20.0906 -20.902957591333514 -21.641957591333515 -22.317957591333517 -22.910957591333514 -23.327957591333515 -26.876957591333515 -29.210957591333514
28 1237645876862452014 339.1639114483 -0.869687540317806 0.1065 0.8935 0.073849 0.019063 -9999.0 -16.340117999533135 -18.5926 -19.8832 -20.4343 -20.6001 -20.839 -21.205117999533133 -21.793117999533134 -22.49411799953313 -23.557117999533133 -23.800117999533136 -27.710117999533132 -29.795117999533133
29 1237645876862452015 339.163963922441 -0.869737326464248 0.157434 0.842566 0.073849 0.019063 -17.994667999533135 -18.728687999533133 -18.5926 -19.8832 -20.4343 -20.6001 -20.839 -21.142117999533134 -21.651117999533135 -23.13111799953313 -23.364117999533136 -23.563117999533134 -27.171117999533134 -29.277117999533132
31 1237645876862517461 339.35744497423 -0.910434649644967 0.475338 0.524662 0.067519 0.010765 -16.63938581009999 -16.97854581009999 -19.2292 -20.8757 -21.5916 -21.9514 -22.2116 -9999.0 -9999.0 -9999.0 -21.644915810099988 -21.73991581009999 -25.11091581009999 -29.147915810099988
32 1237645876862517462 339.357445597604 -0.910446261004148 0.468036 0.531964 0.067519 0.010765 -9999.0 -14.510055810099988 -19.2292 -20.8757 -21.5916 -21.9514 -22.2116 -9999.0 -9999.0 -9999.0 -21.71791581009999 -22.429915810099992 -25.90391581009999 -28.883915810099992
33 1237645876862517463 339.357445597604 -0.910446261004148 0.468036 0.531964 0.067519 0.010765 -16.56346581009999 -17.04014581009999 -19.2292 -20.8757 -21.5916 -21.9514 -22.2116 -9999.0 -9999.0 -9999.0 -21.59791581009999 -21.49891581009999 -24.98691581009999 -28.824915810099988
37 1237645876862779459 339.955336075444 -0.925988473835941 0.071408 0.928592 0.071117 0.027274 -18.109895490247954 -18.491445490247955 -18.3247 -19.7322 -20.2008 -20.4668 -20.673 -21.24312549024795 -21.935125490247955 -23.072125490247952 -23.26912549024795 -23.486125490247954 -26.871125490247955 -29.578125490247952
38 1237645876862779572 339.952123569462 -0.913436196565917 0.181957 0.818043 0.086014 0.020516 -16.39324498888803 -16.92935498888803 -19.2319 -20.5516 -21.0712 -21.3791 -21.4841 -21.63146498888803 -22.56546498888803 -23.35446498888803 -23.86746498888803 -24.260464988888028 -27.59946498888803 -29.850464988888028
39 1237645876862779573 339.952123569462 -0.913436196565917 0.181957 0.818043 0.086014 0.020516 -16.39324498888803 -16.92935498888803 -19.2319 -20.5516 -21.0712 -21.3791 -21.4841 -21.63146498888803 -22.56546498888803 -23.35446498888803 -23.86746498888803 -24.260464988888028 -27.59946498888803 -29.850464988888028
40 1237645876862779583 339.969485991269 -0.854922850663237 0.124178 0.875822 0.064671 0.0135 -17.157971803118684 -18.080941803118684 -19.1982 -20.998 -21.7717 -22.1913 -22.4839 -21.748981803118685 -22.404981803118687 -22.760981803118685 -23.701981803118684 -23.886981803118687 -27.303981803118685 -29.301981803118686
41 1237645876862779593 339.984026358306 -0.885728227565812 0.116691 0.883309 0.055772 0.01847 -16.677851441699072 -17.373321441699073 -18.7914 -20.2547 -20.9398 -21.2426 -21.5958 -20.333801441699073 -20.90980144169907 -21.56980144169907 -22.76780144169907 -23.210801441699072 -27.543801441699074 -30.30180144169907
42 1237645876862779594 339.984024265186 -0.885742537180609 0.180292 0.819708 0.055772 0.01847 -18.760351441699072 -19.327451441699072 -18.7914 -20.2547 -20.9398 -21.2426 -21.5958 -21.52080144169907 -22.13680144169907 -22.473801441699074 -24.085801441699072 -24.155801441699072 -27.87780144169907 -29.914801441699073
43 1237645876862779645 340.030411989596 -0.923864517087244 0.104605 0.895395 0.053894 0.012967 -18.683055845344853 -19.25015584534485 -18.6025 -19.6706 -20.1957 -20.3358 -20.5421 -21.443505845344852 -22.05950584534485 -22.39650584534485 -24.00850584534485 -24.07850584534485 -27.80050584534485 -29.83750584534485
44 1237645876862779721 339.964252383777 -1.03075342437388 0.009461 0.990539 0.074361 0.021409 -17.811994439744893 -18.202684439744893 -18.3361 -19.2988 -19.993 -20.2763 -20.696 -9999.0 -9999.0 -9999.0 -21.963894439744895 -21.957894439744894 -25.133894439744893 -28.669894439744894
45 1237645876862779722 339.964252383777 -1.03075342437388 0.009461 0.990539 0.074361 0.021409 -16.589334439744896 -16.990894439744892 -18.3361 -19.2988 -19.993 -20.2763 -20.696 -21.051894439744892 -21.759894439744894 -22.525894439744896 -23.234894439744895 -23.392894439744893 -26.311894439744897 -29.505894439744893
47 1237645876862845321 340.163295789891 -0.882867699372527 0.356159 0.643841 0.045401 0.038058 -16.971421606646658 -17.41394160664666 -16.7821 -17.8308 -18.09 -18.0329 -17.9235 -20.423841606646658 -21.01284160664666 -22.553841606646657 -22.27784160664666 -22.45684160664666 -25.58184160664666 -28.87584160664666
48 1237645876862910791 340.272305265014 -1.02624461065682 0.031981 0.968019 0.043058 0.013683 -16.852668751621888 -17.29518875162189 -17.5263 -18.3864 -18.837 -18.8956 -18.9366 -20.305088751621888 -20.894088751621887 -22.43508875162189 -22.159088751621887 -22.33808875162189 -25.46308875162189 -28.75708875162189
52 1237645876863172736 340.794538145467 -0.853268049561327 0.0 1.0 0.090454 0.017514 -9999.0 -16.09912140262842 -19.4732 -20.7453 -21.3598 -21.6012 -21.8858 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
53 1237645876863172938 340.916689039959 -0.835297595142571 0.068235 0.931765 0.061467 0.022839 -9999.0 -17.40212679832231 -17.4545 -18.7275 -19.1109 -19.1785 -19.2157 -9999.0 -9999.0 -9999.0 -21.23672679832231 -20.794726798322312 -24.91572679832231 -28.30072679832231
56 1237645876863238420 341.00044522919 -0.930989082204256 0.0 1.0 0.090299 0.023095 -18.447878449630462 -18.66261844963046 -18.5726 -20.1821 -20.6962 -21.0341 -21.3891 -22.00137844963046 -22.93337844963046 -22.95537844963046 -23.834378449630464 -23.950378449630463 -27.51337844963046 -30.59237844963046
57 1237645876863238421 341.000427660208 -0.930993044332399 6e-06 0.999994 0.090299 0.023095 -18.04290844963046 -9999.0 -18.5726 -20.1821 -20.6962 -21.0341 -21.3891 -21.71537844963046 -22.16637844963046 -23.18337844963046 -23.914378449630462 -24.068378449630462 -27.188378449630463 -29.693378449630462
58 1237645876863303830 341.170206562548 -0.864974677498827 0.340289 0.659711 0.080565 0.024792 -17.686477295627945 -18.238607295627943 -19.4595 -20.6722 -21.2363 -21.4167 -21.7 -21.442227295627944 -22.783227295627945 -22.816227295627947 -23.515227295627945 -23.761227295627947 -27.002227295627947 -29.079227295627945
